,input,level,output,power,pressure,massflow,massflow_actual,power_actual,success
1970-01-02 19:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-02 20:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-02 21:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-02 22:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-02 23:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-03 00:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-03 01:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-03 02:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-03 03:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-03 04:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-03 05:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-03 06:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-03 07:00:00,0.0,83831.733,5913.8137,-5913.8137,1.0,2.0,3.0,4.0,0.0
1970-01-03 08:00:00,0.0,77384.76,5157.5779,-5157.5779,1.0,2.0,3.0,4.0,0.0
1970-01-03 09:00:00,0.0,75387.433,1597.8618,-1597.8618,1.0,2.0,3.0,4.0,0.0
1970-01-03 10:00:00,369.5595,75683.08099999999,0.0,369.5595,1.0,2.0,3.0,4.0,0.0
1970-01-03 11:00:00,2034.1364,77310.39,0.0,2034.1364,1.0,2.0,3.0,4.0,0.0
1970-01-03 12:00:00,286.07903,77539.253,0.0,286.07903,1.0,2.0,3.0,4.0,0.0
1970-01-03 13:00:00,0.0,72799.473,3791.824,-3791.824,1.0,2.0,3.0,4.0,0.0
1970-01-03 14:00:00,0.0,59876.386,10338.47,-10338.47,1.0,2.0,3.0,4.0,0.0
1970-01-03 15:00:00,0.0,43877.636,12799.0,-12799.0,1.0,2.0,3.0,4.0,0.0
1970-01-03 16:00:00,0.0,27878.886000000002,12799.0,-12799.0,1.0,2.0,3.0,4.0,0.0
1970-01-03 17:00:00,0.0,11880.136,12799.0,-12799.0,1.0,2.0,3.0,4.0,0.0
1970-01-03 18:00:00,0.0,1755.101,8100.0276,-8100.0276,1.0,2.0,3.0,4.0,0.0
1970-01-03 19:00:00,0.0,0.0,1404.0808,-1404.0808,1.0,2.0,3.0,4.0,0.0
1970-01-03 20:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-03 21:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-03 22:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-03 23:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-04 00:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-04 01:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-04 02:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-04 03:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-04 04:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-04 05:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-04 06:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-04 07:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-04 08:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-04 09:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-04 10:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-04 11:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-04 12:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-04 13:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-04 14:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-04 15:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-04 16:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-04 17:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-04 18:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-04 19:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-04 20:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-04 21:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-04 22:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-04 23:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-05 00:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-05 01:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-05 02:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-05 03:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-05 04:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-05 05:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-05 06:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-05 07:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-05 08:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-05 09:00:00,10002.735999999999,8002.1889,0.0,10002.735999999999,1.0,2.0,3.0,4.0,0.0
1970-01-05 10:00:00,12799.0,18241.389,0.0,12799.0,1.0,2.0,3.0,4.0,0.0
1970-01-05 11:00:00,12799.0,28480.589,0.0,12799.0,1.0,2.0,3.0,4.0,0.0
1970-01-05 12:00:00,12799.0,38719.789,0.0,12799.0,1.0,2.0,3.0,4.0,0.0
1970-01-05 13:00:00,8086.9127,45189.319,0.0,8086.9127,1.0,2.0,3.0,4.0,0.0
1970-01-05 14:00:00,0.0,45189.319,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-05 15:00:00,0.0,45189.319,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-05 16:00:00,0.0,45189.319,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-05 17:00:00,0.0,45189.319,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-05 18:00:00,0.0,45189.319,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-05 19:00:00,0.0,45189.319,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-05 20:00:00,0.0,45189.319,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-05 21:00:00,0.0,45189.319,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-05 22:00:00,3388.3086,47899.96599999999,0.0,3388.3086,1.0,2.0,3.0,4.0,0.0
1970-01-05 23:00:00,5187.7248,52050.14599999999,0.0,5187.7248,1.0,2.0,3.0,4.0,0.0
1970-01-06 00:00:00,6047.9888,56888.537000000004,0.0,6047.9888,1.0,2.0,3.0,4.0,0.0
1970-01-06 01:00:00,5740.4044,61480.86,0.0,5740.4044,1.0,2.0,3.0,4.0,0.0
1970-01-06 02:00:00,5110.2862,65569.089,0.0,5110.2862,1.0,2.0,3.0,4.0,0.0
1970-01-06 03:00:00,5649.4347,70088.637,0.0,5649.4347,1.0,2.0,3.0,4.0,0.0
1970-01-06 04:00:00,11253.703000000001,79091.599,0.0,11253.703000000001,1.0,2.0,3.0,4.0,0.0
1970-01-06 05:00:00,10662.719,87621.774,0.0,10662.719,1.0,2.0,3.0,4.0,0.0
1970-01-06 06:00:00,4502.7823,91224.0,0.0,4502.7823,1.0,2.0,3.0,4.0,0.0
1970-01-06 07:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-06 08:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-06 09:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-06 10:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-06 11:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-06 12:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-06 13:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-06 14:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-06 15:00:00,0.0,86771.431,3562.0548,-3562.0548,1.0,2.0,3.0,4.0,0.0
1970-01-06 16:00:00,0.0,73377.738,10714.955,-10714.955,1.0,2.0,3.0,4.0,0.0
1970-01-06 17:00:00,0.0,59063.178,11451.648000000001,-11451.648000000001,1.0,2.0,3.0,4.0,0.0
1970-01-06 18:00:00,0.0,49463.887,7679.4334,-7679.4334,1.0,2.0,3.0,4.0,0.0
1970-01-06 19:00:00,0.0,46977.07,1989.4536,-1989.4536,1.0,2.0,3.0,4.0,0.0
1970-01-06 20:00:00,0.0,46977.07,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-06 21:00:00,0.0,46977.07,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-06 22:00:00,0.0,46977.07,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-06 23:00:00,0.0,46977.07,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-07 00:00:00,0.0,46977.07,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-07 01:00:00,0.0,46977.07,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-07 02:00:00,6213.2223,51947.647000000004,0.0,6213.2223,1.0,2.0,3.0,4.0,0.0
1970-01-07 03:00:00,8040.3759,58379.948,0.0,8040.3759,1.0,2.0,3.0,4.0,0.0
1970-01-07 04:00:00,6982.2801,63965.772000000004,0.0,6982.2801,1.0,2.0,3.0,4.0,0.0
1970-01-07 05:00:00,0.0,63965.772000000004,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-07 06:00:00,0.0,63965.772000000004,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-07 07:00:00,0.0,56324.517,6113.0041,-6113.0041,1.0,2.0,3.0,4.0,0.0
1970-01-07 08:00:00,0.0,47196.727,7302.2324,-7302.2324,1.0,2.0,3.0,4.0,0.0
1970-01-07 09:00:00,0.0,39848.503,5878.5788,-5878.5788,1.0,2.0,3.0,4.0,0.0
1970-01-07 10:00:00,0.0,31914.537,6347.1731,-6347.1731,1.0,2.0,3.0,4.0,0.0
1970-01-07 11:00:00,0.0,21269.354,8516.146,-8516.146,1.0,2.0,3.0,4.0,0.0
1970-01-07 12:00:00,0.0,12200.103000000001,7255.4012,-7255.4012,1.0,2.0,3.0,4.0,0.0
1970-01-07 13:00:00,0.0,5610.4286,5271.7391,-5271.7391,1.0,2.0,3.0,4.0,0.0
1970-01-07 14:00:00,0.0,1280.6474,3463.8249,-3463.8249,1.0,2.0,3.0,4.0,0.0
1970-01-07 15:00:00,0.0,0.0,1024.5179,-1024.5179,1.0,2.0,3.0,4.0,0.0
1970-01-07 16:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-07 17:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-07 18:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-07 19:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-07 20:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-07 21:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-07 22:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-07 23:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-08 00:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-08 01:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-08 02:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-08 03:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-08 04:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-08 05:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-08 06:00:00,465.31774,372.25419,0.0,465.31774,1.0,2.0,3.0,4.0,0.0
1970-01-08 07:00:00,0.0,372.25419,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-08 08:00:00,0.0,372.25419,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-08 09:00:00,6448.1929,5530.8085,0.0,6448.1929,1.0,2.0,3.0,4.0,0.0
1970-01-08 10:00:00,12799.0,15770.008999999998,0.0,12799.0,1.0,2.0,3.0,4.0,0.0
1970-01-08 11:00:00,12799.0,26009.209,0.0,12799.0,1.0,2.0,3.0,4.0,0.0
1970-01-08 12:00:00,12799.0,36248.409,0.0,12799.0,1.0,2.0,3.0,4.0,0.0
1970-01-08 13:00:00,12799.0,46487.609000000004,0.0,12799.0,1.0,2.0,3.0,4.0,0.0
1970-01-08 14:00:00,8322.9693,53145.984000000004,0.0,8322.9693,1.0,2.0,3.0,4.0,0.0
1970-01-08 15:00:00,0.0,53145.984000000004,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-08 16:00:00,0.0,53145.984000000004,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-08 17:00:00,0.0,53145.984000000004,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-08 18:00:00,0.0,53145.984000000004,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-08 19:00:00,0.0,53145.984000000004,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-08 20:00:00,2080.5827,54810.45,0.0,2080.5827,1.0,2.0,3.0,4.0,0.0
1970-01-08 21:00:00,0.0,54810.45,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-08 22:00:00,0.0,54810.45,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-08 23:00:00,0.0,54810.45,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-09 00:00:00,0.0,54810.45,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-09 01:00:00,0.0,54810.45,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-09 02:00:00,1203.9291,55773.593,0.0,1203.9291,1.0,2.0,3.0,4.0,0.0
1970-01-09 03:00:00,524.31711,56193.047,0.0,524.31711,1.0,2.0,3.0,4.0,0.0
1970-01-09 04:00:00,5676.9403,60734.599,0.0,5676.9403,1.0,2.0,3.0,4.0,0.0
1970-01-09 05:00:00,5844.7219,65410.377,0.0,5844.7219,1.0,2.0,3.0,4.0,0.0
1970-01-09 06:00:00,319.72767000000005,65666.159,0.0,319.72767000000005,1.0,2.0,3.0,4.0,0.0
1970-01-09 07:00:00,1212.1674,66635.893,0.0,1212.1674,1.0,2.0,3.0,4.0,0.0
1970-01-09 08:00:00,2581.3318,68700.958,0.0,2581.3318,1.0,2.0,3.0,4.0,0.0
1970-01-09 09:00:00,2966.2205,71073.935,0.0,2966.2205,1.0,2.0,3.0,4.0,0.0
1970-01-09 10:00:00,9703.8757,78837.035,0.0,9703.8757,1.0,2.0,3.0,4.0,0.0
1970-01-09 11:00:00,12799.0,89076.235,0.0,12799.0,1.0,2.0,3.0,4.0,0.0
1970-01-09 12:00:00,2684.7059,91224.0,0.0,2684.7059,1.0,2.0,3.0,4.0,0.0
1970-01-09 13:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-09 14:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-09 15:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-09 16:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-09 17:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-09 18:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-09 19:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-09 20:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-09 21:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-09 22:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-09 23:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-10 00:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-10 01:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-10 02:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-10 03:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-10 04:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-10 05:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-10 06:00:00,0.0,78930.69099999999,9834.6476,-9834.6476,1.0,2.0,3.0,4.0,0.0
1970-01-10 07:00:00,0.0,64877.725999999995,11242.371000000001,-11242.371000000001,1.0,2.0,3.0,4.0,0.0
1970-01-10 08:00:00,0.0,64877.725999999995,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-10 09:00:00,0.0,64877.725999999995,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-10 10:00:00,0.0,64877.725999999995,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-10 11:00:00,0.0,64877.725999999995,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-10 12:00:00,0.0,64877.725999999995,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-10 13:00:00,0.0,64877.725999999995,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-10 14:00:00,0.0,64877.725999999995,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-10 15:00:00,0.0,64877.725999999995,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-10 16:00:00,0.0,64877.725999999995,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-10 17:00:00,0.0,64877.725999999995,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-10 18:00:00,0.0,64877.725999999995,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-10 19:00:00,0.0,64877.725999999995,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-10 20:00:00,0.0,64877.725999999995,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-10 21:00:00,0.0,64877.725999999995,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-10 22:00:00,0.0,64877.725999999995,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-10 23:00:00,0.0,64877.725999999995,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-11 00:00:00,0.0,64877.725999999995,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-11 01:00:00,2962.1736,67247.465,0.0,2962.1736,1.0,2.0,3.0,4.0,0.0
1970-01-11 02:00:00,9214.1874,74618.815,0.0,9214.1874,1.0,2.0,3.0,4.0,0.0
1970-01-11 03:00:00,11784.181999999999,84046.16,0.0,11784.181999999999,1.0,2.0,3.0,4.0,0.0
1970-01-11 04:00:00,8972.2995,91224.0,0.0,8972.2995,1.0,2.0,3.0,4.0,0.0
1970-01-11 05:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-11 06:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-11 07:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-11 08:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-11 09:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-11 10:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-11 11:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-11 12:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-11 13:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-11 14:00:00,0.0,88466.03300000001,2206.3739,-2206.3739,1.0,2.0,3.0,4.0,0.0
1970-01-11 15:00:00,0.0,79235.37599999999,7384.5253,-7384.5253,1.0,2.0,3.0,4.0,0.0
1970-01-11 16:00:00,0.0,67617.049,9294.6615,-9294.6615,1.0,2.0,3.0,4.0,0.0
1970-01-11 17:00:00,0.0,66234.063,1106.3888,-1106.3888,1.0,2.0,3.0,4.0,0.0
1970-01-11 18:00:00,0.0,66234.063,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-11 19:00:00,0.0,66234.063,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-11 20:00:00,0.0,66234.063,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-11 21:00:00,0.0,66234.063,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-11 22:00:00,0.0,66234.063,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-11 23:00:00,0.0,66234.063,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-12 00:00:00,0.0,66234.063,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-12 01:00:00,0.0,66234.063,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-12 02:00:00,0.0,66234.063,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-12 03:00:00,7430.057,72178.109,0.0,7430.057,1.0,2.0,3.0,4.0,0.0
1970-01-12 04:00:00,12799.0,82417.30900000001,0.0,12799.0,1.0,2.0,3.0,4.0,0.0
1970-01-12 05:00:00,9924.7087,90357.076,0.0,9924.7087,1.0,2.0,3.0,4.0,0.0
